row,produto,ean,preco_7_dias,preco_14_dias,preco_21_dias,preco_28_dias,status,revisao_visual,observacao,source,source_page,image_url,title_found,optimized_path,optimized_bytes,original_width,original_height,processed_at
2,AB ALWAYS DIARIO S/ ABAS 15UN,7501007499758,4.39,4.43,4.44,4.46,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-suave-com-abas-l32p28un-72634,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-suave-com-abas-l32p28un-72634/259170-6.jpg?w=900&h=900&v=202504151129&qs=ignore,Absorvente Always Super Proteção Suave Com Abas L32P28Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7501007499758.webp,65630,900,900,2026-07-06T11:46:04
3,AB ALWAYS PINK NOT C/ ABAS 8UN,7506339394603,7.28,7.34,7.37,7.4,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-noturno-always-noites-tranquilas-com-abas-8un-72336,https://destro.fbitsstatic.net/img/p/absorvente-noturno-always-noites-tranquilas-com-abas-8un-72336/258872-6.jpg?w=900&h=900&v=202504151121&qs=ignore,Absorvente Noturno Always Noites Tranquilas Com Abas 8Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7506339394603.webp,38994,900,900,2026-07-06T11:46:03
4,AB ALWAYS SUP PROT SC C/ ABAS 32UN PROMO,7500435127288,10.58,10.66,10.71,10.75,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-seca-com-abas-32un-leve-32-pague-28-72632,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-seca-com-abas-32un-leve-32-pague-28-72632/259168-5.jpg?w=900&h=900&v=202504151128&qs=ignore,Absorvente Always Super Proteção Seca Com Abas 32Un Leve 32 Pague 28,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127288.webp,62342,900,900,2026-07-06T11:46:03
5,AB ALWAYS SUP PROT SECA C/ ABAS 8UN,7500435127226,3.09,3.11,3.13,3.14,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-seca-sem-abas-8-unidades-71188,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-seca-sem-abas-8-unidades-71188/257724-6.jpg?w=900&h=900&v=202504151122&qs=ignore,Absorvente Always Super Proteção Seca Sem Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127226.webp,50354,900,900,2026-07-06T11:46:05
6,AB ALWAYS SUP PROT SECA S/ ABAS 8UN,7500435127264,3.09,3.11,3.13,3.14,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-seca-sem-abas-8-unidades-71188,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-seca-sem-abas-8-unidades-71188/257724-6.jpg?w=900&h=900&v=202504151122&qs=ignore,Absorvente Always Super Proteção Seca Sem Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127264.webp,50354,900,900,2026-07-06T11:46:05
7,AB ALWAYS SUP PROT SUAVE C/ ABAS 8UN,7500435127240,3.09,3.11,3.13,3.14,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-suave-sem-abas-8-unidades-71190,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-suave-sem-abas-8-unidades-71190/257726-5.jpg?w=900&h=900&v=202504151126&qs=ignore,Absorvente Always Super Proteção Suave Sem Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127240.webp,53388,900,900,2026-07-06T11:46:06
8,AB ALWAYS SUP PROT SUAVE S/ ABAS 8UN,7500435127271,3.09,3.11,3.13,3.14,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-suave-sem-abas-8-unidades-71190,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-suave-sem-abas-8-unidades-71190/257726-5.jpg?w=900&h=900&v=202504151126&qs=ignore,Absorvente Always Super Proteção Suave Sem Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127271.webp,53388,900,900,2026-07-06T11:46:07
9,AB ALWAYS SUP PROT SV C/ ABAS 10UN PROMO,7500435190633,3.49,3.52,3.53,3.55,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-com-abas-l10p9un-81308,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-com-abas-l10p9un-81308/267863-1.jpg?w=900&h=900&v=202504151130&qs=ignore,Absorvente Always Super Proteção Com Abas L10P9Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435190633.webp,65080,900,900,2026-07-06T11:46:09
10,AB ALWAYS SUP PROT SV C/ ABAS 16UN PROMO,7500435127257,4.57,4.61,4.62,4.64,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-suave-com-abas-16un-leve-16-pague-14-72633,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-suave-com-abas-16un-leve-16-pague-14-72633/259169-1.jpg?w=900&h=900&v=202504151128&qs=ignore,Absorvente Always Super Proteção Suave Com Abas 16Un Leve 16 Pague 14,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127257.webp,47802,900,900,2026-07-06T11:46:08
11,AB ALWAYS SUP PROT SV C/ ABAS 32UN PROMO,7500435126199,10.58,10.66,10.71,10.75,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-always-super-protecao-seca-com-abas-32un-leve-32-pague-28-72632,https://destro.fbitsstatic.net/img/p/absorvente-always-super-protecao-seca-com-abas-32un-leve-32-pague-28-72632/259168-5.jpg?w=900&h=900&v=202504151128&qs=ignore,Absorvente Always Super Proteção Seca Com Abas 32Un Leve 32 Pague 28,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435126199.webp,62342,900,900,2026-07-06T11:46:09
12,AB CAREFREE BRISA S/ PERF 15UN,7891010087807,7.29,7.35,7.38,7.41,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-carefree-protecao-com-perfume-15-unidades-73128,https://destro.fbitsstatic.net/img/p/absorvente-carefree-protecao-com-perfume-15-unidades-73128/259664.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Carefree Proteção Com Perfume 15 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010087807.webp,41720,900,900,2026-07-06T11:46:13
13,AB CAREFREE BRISA S/ PERF 40UN PROMO,7891010039783,13.29,13.4,13.45,13.5,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/protetor-diario-carefree-sem-perfume-40un-86872,https://destro.fbitsstatic.net/img/p/protetor-diario-carefree-sem-perfume-40un-86872/273869.jpg?w=900&h=900&v=202501231555&qs=ignore,Protetor Diário Carefree Sem Perfume 40Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010039783.webp,40132,900,900,2026-07-06T11:46:12
