row,produto,ean,preco_7_dias,preco_14_dias,preco_21_dias,preco_28_dias,status,revisao_visual,observacao,source,source_page,image_url,title_found,optimized_path,optimized_bytes,original_width,original_height,processed_at
2,ABS ALWAYS BASICO 8UN SECA C/ABAS,7500435127226,4.16,4.21,4.23,4.25,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127226.webp,50354,0,0,2026-07-07T13:39:51
3,ABS ALWAYS BASICO 8UN SECA S/ABAS,7500435127264,4.2,4.25,4.27,4.29,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127264.webp,50354,0,0,2026-07-07T13:39:51
4,ABS ALWAYS BASICO 8UN SUAVE C/ABAS,7500435127240,4.16,4.21,4.23,4.25,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127240.webp,53388,0,0,2026-07-07T13:39:51
5,ABS ALWAYS BASICO 8UN SUAVE S/ABAS,7500435127271,4.2,4.25,4.27,4.29,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127271.webp,53388,0,0,2026-07-07T13:39:51
6,ABS ALWAYS BASICO 16UN SECA C/ABAS,7500435127233,7.38,7.46,7.5,7.53,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:51
7,ABS ALWAYS BASICO 16UN SUAVE C/ABAS,7500435127257,7.38,7.46,7.5,7.53,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127257.webp,47802,0,0,2026-07-07T13:39:51
8,ABS ALWAYS BASICO 32UN SECA C/ABAS,7500435127288,14.14,14.31,14.38,14.45,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127288.webp,62342,0,0,2026-07-07T13:39:51
9,ABS ALWAYS BASICO 32UN SUAVE C/ABAS,7500435126199,14.14,14.31,14.38,14.45,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435126199.webp,62342,0,0,2026-07-07T13:39:51
10,ABS ALWAYS NOTURNO 8UN SECA C/AB,7506339394535,7.98,8.08,8.12,8.16,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:51
11,ABS ALWAYS NOTURNO 8UN SUAVE C/AB,7506339394603,7.98,8.08,8.12,8.16,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7506339394603.webp,38994,0,0,2026-07-07T13:39:51
12,ABS ALWAYS NOTURNO 8UN SUAVE C/AB FX XG,7500435214667,10.25,10.37,10.42,10.47,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:51
13,ABS ALWAYS NOTURNO 16UN SECA C/AB L+P-,7506339325249,14.13,14.3,14.37,14.44,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:51
14,ABS ALWAYS NOTURNO 16UN SUAVE C/AB L+P-,7506339326031,14.04,14.2,14.27,14.34,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:51
15,ABS ALWAYS NOTURNO 32UN SECA C/AB L+P-,7506339325263,25.83,26.13,26.26,26.38,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:51
16,ABS ALWAYS NOTURNO 32UN SUAVE C/AB L+P-,7506339326055,25.83,26.13,26.26,26.38,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:39:54
17,ABS ALWAYS PT DIAR 15UN C/ PERF,7501007499758,5.54,5.6,5.63,5.65,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7501007499758.webp,65630,0,0,2026-07-07T13:39:54
18,ABS CAREFREE PT DIAR 15UN S/PERF TODODIA,7891010087807,6.44,6.52,6.55,6.58,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010087807.webp,41720,0,0,2026-07-07T13:39:54
19,ABS CAREFREE PT DIAR 40UN C/PERF PROTEC,7891010009618,11.86,12,12.06,12.11,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010009618.webp,40132,0,0,2026-07-07T13:39:54
20,ABS CAREFREE PT DIAR 40UN S/PERF TODODIA,7891010039783,12.09,12.23,12.29,12.35,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010039783.webp,40132,0,0,2026-07-07T13:39:54
21,ABS COTTONBABY LADY 8UN SUAVE C/AB,7896227650158,2.46,2.49,2.51,2.52,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896227650158,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-cottonbaby-lady-suave-com-abas-8un-48160-1,https://goiasatacado.agilecdn.com.br/48160_1.jpg,ABSORVENTE COTTONBABY LADY SUAVE COM ABAS 8UN,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896227650158.webp,66700,720,701,2026-07-07T13:39:57
22,ABS COTTONBABY LADY 16UN SUAVE C/AB,7896227650035,4.98,5.04,5.06,5.09,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896227650035,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-cottonbaby-lady-suave-com-abas-16un--41967-1,https://goiasatacado.agilecdn.com.br/41967_1.jpg,ABSORVENTE COTTONBABY LADY SUAVE COM ABAS 16UN,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896227650035.webp,47456,720,1077,2026-07-07T13:39:57
23,ABS COTTONBABY LADY 32UN SUAVE C/AB,7896227690697,9.67,9.78,9.83,9.88,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896227690697,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-cottonbaby-lady-32un-suave-cabas-50500-1,https://goiasatacado.agilecdn.com.br/50500_1.jpg,ABSORVENTE COTTONBABY LADY 32UN SUAVE C/ABAS,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896227690697.webp,27996,720,520,2026-07-07T13:39:57
24,ABS COTTONBABY LADY NOT 32UN SUAVE C/AB,7896227690703,14.34,14.51,14.58,14.65,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896227690703,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-cottonbaby-lady-noturno-32un-suave-cabas-50501-1,https://goiasatacado.agilecdn.com.br/50501_1.jpg,ABSORVENTE COTTONBABY LADY NOTURNO 32UN SUAVE C/ABAS,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896227690703.webp,31824,720,563,2026-07-07T13:39:57
25,ABS COTTONBABY LADY NOT 8UN SUAVE C/AB,7896227650127,3.97,4.01,4.03,4.05,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896227650127,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-cottonbaby-lady-suave-cabas-noturno-8un--41968-1,https://goiasatacado.agilecdn.com.br/41968_1.jpg,ABSORVENTE COTTONBABY LADY SUAVE C/ABAS NOTURNO 8UN,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896227650127.webp,31960,720,672,2026-07-07T13:39:57
26,ABS DIANA ACTIVE 8UN SUAVE C/AB,7896914000266,2.56,2.59,2.6,2.61,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896914000266,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-diana-active-suave-com-abas-8un-35431-1,https://goiasatacado.agilecdn.com.br/35431_1.jpg,ABSORVENTE DIANA ACTIVE SUAVE COM ABAS 8UN,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896914000266.webp,55036,720,652,2026-07-07T13:39:59
27,ABS DIANA ACTIVE 8UN SUAVE S/AB,7896914000273,2.56,2.59,2.6,2.61,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=347; eans=7896914000273,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-diana-active-suave-sem-abas-8un--35432-1,https://goiasatacado.agilecdn.com.br/35432_1.jpg,ABSORVENTE DIANA ACTIVE SUAVE SEM ABAS 8UN,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896914000273.webp,54240,720,652,2026-07-07T13:39:59
28,ABS DIANA ACTIVE LV16PG14 SUAVE C/AB,7896914002116,4.6,4.66,4.68,4.7,OK_GOIAS_EAN,OK_AUTO,Imagem encontrada no Goias Atacado. score=300; eans=7896914002116,goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-diana-active-suave-com-abas-leve-16-pague-14--17845-1,https://goiasatacado.agilecdn.com.br/17845_1.jpg,ABSORVENTE DIANA ACTIVE SUAVE COM ABAS LEVE 16 PAGUE 14,C:\Users\edson\Downloads\venpro-banco-imagens\goias_atacado\imagens\7896914002116.webp,42610,720,447,2026-07-07T13:39:59
