row,produto,ean,preco_7_dias,preco_14_dias,preco_21_dias,preco_28_dias,status,revisao_visual,observacao,source,source_page,image_url,title_found,optimized_path,optimized_bytes,original_width,original_height,processed_at
2,ABS COTTON LINE 16UN S/AB SUAVE,7898095298197,4.22,4.24,4.29,4.32,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.comercialsouzaatacado.com.br,https://www.comercialsouzaatacado.com.br/absorvente-cotton-line-c-16un-suave-sem-abas-cx-com-30-un-prd.html,https://www.comercialsouzaatacado.com.br/media/catalog/product/cache/1/image/800x/17f82f742ffe127f42dca9de82fb58b1/0/5/05315602901_39.jpg,ABSORVENTE COTTON LINE C/ 16UN SUAVE SEM ABAS - CX COM 30 UN | Comercial  Souza Atacado,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7898095298197.webp,60352,800,800,2026-07-06T21:05:58
3,ABS COTTON LINE 8UN C/AB SUAVE,7898095297916,2.31,2.32,2.35,2.37,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.lojaslivia.com.br,https://www.lojaslivia.com.br/produto/absorvente-cotton-line-suave-8-unidades-com-abas-86777?srsltid=AfmBOorv4_rzTBYHXkeyNOhq91r-E4H3Cvw4eFfPryRgL4sDObL4QhFI,https://lojaslivia.fbitsstatic.net/img/p/absorvente-cotton-line-suave-8-unidades-com-abas-86777/271887.jpg?w=800&h=800&v=202501231556,Absorvente Cotton Line Suave 8 unidades Com Abas,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7898095297916.webp,40342,800,800,2026-07-06T21:05:58
4,ABS GERIAT BIGFRAL PLUS 20UN REGULAR,7896012880531,13.12,13.19,13.34,13.43,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.farmaciasheroos.com.br,https://www.farmaciasheroos.com.br/absorvente-geriatrico-bigfral-regular-plus-20-unidades/p?srsltid=AfmBOoq5wjtI83cdqXpG1vzj9QIi2neOnvRVEG-6SwUDzsLWn3wtChvm,https://io.convertiez.com.br/m/farmaciasheroos/shop/products/images/92195/medium/absorvente-geriatrico-bigfral-regular-plus-20-unidades_52321.png,Abs Bigfral Plus Regular 20un,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896012880531.webp,23760,500,500,2026-07-06T21:05:58
5,DISPLAY ESMALTE RISQUE,7893596204005,54.73,55.0,55.66,56.04,REVISAR_SERPER,PENDENTE,Imagem encontrada via Serper; revisar visualmente antes de aprovar. score=144,serper:fulldisplay.com.br,https://fulldisplay.com.br/produto/display-risque/,https://fulldisplay.com.br/wp-content/uploads/2025/02/230122-Risque-Display-de-Balcao-A01-001-600x570.png,Display de Balcão – Risqué – Full Display,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7893596204005.webp,24722,600,570,2026-07-06T21:05:58
6,PALLET RECKITT BENCKISER,9990095666001,23.88,24.0,24.29,24.45,REVISAR_SERPER,PENDENTE,Imagem encontrada via Serper; revisar visualmente antes de aprovar. score=138,serper:www.perolaon.com.br,https://www.perolaon.com.br/m/100743/reckitt-benckiser,https://perola.agilecdn.com.br/7891035012204.jpg?v=345-2830743857,RECKITT BENCKISER | Pérola Online,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\9990095666001.webp,35074,1000,1000,2026-07-06T21:05:58
7,ABS ALWAYS 8UN S/AB SECA,7500435127264,3.56,3.58,3.62,3.65,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7500435127264.webp,50354,,,2026-07-06T18:33:56
8,ABS COTTON LINE 16UN C/AB SUAVE,7898095298180,4.32,4.34,4.39,4.42,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.comercialsouzaatacado.com.br,https://www.comercialsouzaatacado.com.br/absorvente-cotton-line-c-16un-suave-com-abas-cx-com-30-un-prd.html,https://www.comercialsouzaatacado.com.br/media/catalog/product/cache/1/image/800x/17f82f742ffe127f42dca9de82fb58b1/0/5/05315601901_38.jpg,ABSORVENTE COTTON LINE C/ 16UN SUAVE COM ABAS - CX COM 30 UN | Comercial  Souza Atacado,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7898095298180.webp,55274,800,800,2026-07-06T21:05:58
8,ABS COTTON LINE 8UN S/AB SUAVE,7898095297930,2.18,2.19,2.22,2.23,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7898095297930-abs-cotton-line-suave-8un,https://cdn-cosmos.bluesoft.com.br/products/7898095297930,ABS COTTON LINE SUAVE 8UN - GTIN/EAN/UPC 7898095297930 - Cadastro de Produto  com Tributação e NCM - Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7898095297930.webp,47658,2953,2598,2026-07-06T21:05:58
9,ABS GERIAT GERIAMAX 20UN SUPER,7896064487016,15.73,15.81,16.0,16.11,REVISAR_SERPER,PENDENTE,Imagem encontrada via Serper; revisar visualmente antes de aprovar. score=156,serper:www.distribuidoraalvo.com.br,https://www.distribuidoraalvo.com.br/absorvente-geriamax-com-20un-1514-1,https://alvocosmeticos.agilecdn.com.br/1514.png,ABSORVENTE GERIAMAX COM 20UN | Alvo Cosméticos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896064487016.webp,20764,560,560,2026-07-06T21:05:58
10,ABS INTERNO INTIMUS 8UN MINI,7896007541850,7.16,7.2,7.28,7.33,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.ciganabeleza.com.br,https://www.ciganabeleza.com.br/products/absorvente-interno-intimus-gel-mini-8un?srsltid=AfmBOoro4g21h4mNAZXbdI2rdsUDWKVV8BYa4YQteIyrankWFgfs3yxs,https://www.ciganabeleza.com.br/cdn/shop/files/absorvente-interno-intimus-gel-mini-8un-1194_15457_eaf6373a-89db-4390-953f-cd7a2f5f2c00.png?v=1767833154&width=3840,Intimus Absorvente Interno Mini 8 Unidades,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007541850.webp,45730,1000,1000,2026-07-06T21:05:58
11,ABS INTERNO OB L10 P8UN MEDIO,7891010886547,8.55,8.59,8.7,8.76,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010886547.webp,20204,,,2026-07-06T18:33:56
12,ABS INTIMUS 16UN L+ P- C/AB SUAVE,7896007545094,7.22,7.26,7.34,7.39,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.redemix.com.br,https://www.redemix.com.br/7896007545094absorvente-intimus-tripla-protecao-cobertura-suave-com-abas-16-unidades/p,https://redemix.vteximg.com.br/arquivos/ids/211843-1000-1000/7896007545094.jpg?v=638350615888270000,ABSORVENTE INTIMUS TRIPLA PROTEÇÃO COBERTURA SUAVE COM ABAS 16 UNIDADES -  redemix,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007545094.webp,47878,1000,1000,2026-07-06T21:05:58
13,ABS INTIMUS 8UN C/AB SECA,7896007540631,3.97,3.99,4.04,4.07,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.redemix.com.br,https://www.redemix.com.br/7896007540631absorvente-intimus-gel-sc-c-ab-8un/p,https://redemix.vteximg.com.br/arquivos/ids/223195-1000-1000/711xc4LoWmL._AC_SX569_.png?v=638877435781930000,ABSORVENTE INTIMUS GEL SC C AB 8UN - redemix,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007540631.webp,50932,1000,1000,2026-07-06T21:05:58
14,ABS INTIMUS 8UN S/AB SUAVE,7896007540600,3.97,3.99,4.04,4.07,REVISAR_SERPER,PENDENTE,Imagem encontrada via Serper; revisar visualmente antes de aprovar. score=162,serper:www.goiasatacado.com.br,https://www.goiasatacado.com.br/absorvente-intimus-gel-suave-sem-abas-8un-48155-1,https://goiasatacado.agilecdn.com.br/48155_1.jpg,ABSORVENTE INTIMUS GEL SUAVE SEM ABAS 8UN | Goiás Atacado Distribuidor,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007540600.webp,51342,720,826,2026-07-06T21:05:58
15,ABS INTIMUS NOT 30UN L+ P- C/AB SUAVE,7896007550890,18.5,18.59,18.81,18.94,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.redemix.com.br,https://www.redemix.com.br/7896007550890absorvente-intimus-noturno-cobertura-suave-com-abas-30-unidades/p,https://redemix.vteximg.com.br/arquivos/ids/211871-1000-1000/7896007550890.jpg?v=638350616016200000,ABSORVENTE INTIMUS NOTURNO COBERTURA SUAVE COM ABAS 30 UNIDADES - redemix,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007550890.webp,45798,1000,1000,2026-07-06T21:05:58
16,ABS PROT DIARIO CAREFREE 15UN PROTECAO C/PERFUME,7891010087722,6.56,6.59,6.67,6.72,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010087722.webp,41720,,,2026-07-06T18:34:24
17,ABS PROT DIARIO CAREFREE 15UN TODO DIA S/PERFUME,7891010087807,6.56,6.59,6.67,6.72,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010087807.webp,41720,,,2026-07-06T18:34:24
18,ABS PROT DIARIO CAREFREE 40UN C/PERFUME,7891010009618,12.33,12.39,12.54,12.63,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010009618.webp,40132,,,2026-07-06T18:34:24
19,ABS PROT DIARIO CAREFREE 40UN S/PERFUME,7891010875596,12.33,12.39,12.54,12.63,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010875596.webp,40132,,,2026-07-06T18:34:24
20,ABS PROT DIARIO CAREFREE 40UN TODO DIA S/PERFUME,7891010039783,12.33,12.39,12.54,12.63,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010039783.webp,40132,,,2026-07-06T18:34:24
21,ABS PROT DIARIO INTIMUS 15UN CUIDADO DIARIO,7896007540259,4.33,4.35,4.4,4.43,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7896007540259-protetor-diario-sem-abas-intimus-cuidado-diario-pacote-15-unidades,https://cdn-cosmos.bluesoft.com.br/products/7896007540259,PROTETOR DIÁRIO SEM ABAS INTIMUS CUIDADO DIÁRIO PACOTE 15 UNIDADES -  GTIN/EAN/UPC 7896007540259 - Cadastro de Produto com Tributação e NCM -  Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007540259.webp,55598,780,780,2026-07-06T21:05:58
22,ABS PROT DIARIO INTIMUS 40UN L+ P- ANTIBACTERIANA,7896007550548,9.25,9.3,9.41,9.47,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:maxxieconomica.com,https://maxxieconomica.com/detalhe-produto/protetor-dia-intimus-antibac-40un,https://maxxieconomica.com/storage/photos/1/Products/ean/7896007550548.jpg,Protetor Diário Intimus Antibacteriana 40 Unidades,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896007550548.webp,49162,1000,1000,2026-07-06T21:05:58
